ID,Link,Name,Surname,Title,FullName,Faculty,Topic,Department,Photo,Sentence
1,https://www.tudelft.nl/ewi/over-de-faculteit/afdelingen/software-technology/algorithmics/people/neil-yorke-smith,Neil,Yorke-Smith,Dr.,Dr. Neil Yorke-Smith,EEMCS,Artificial Intelligence,Software Technology / Algorithmics,recommender_1.png,"Artificial Intelligence enjoys its `third summer' from the 2010s.  It is no new field, and AI is much more than only machine learning and deep neural networks.  This collection of books reaches from popular science explanations of AI, through influential critiques of the foundations of AI, to science fiction visions of the AI future."
2,https://www.tudelft.nl/en/staff/f.e.bucciancapi/?cHash=3db6666b013b740b9f5cb55e1786ab3a,Felipe,Bucci Ancapi,MSc,MSc Felipe Bucci Ancapi,A+BE,Circular Economy,Management in the Built Environment / Urban Development Management,recommender_2.png,The circular economy can be a means to radically change the way humanity thrives on Earth.
3,https://www.tudelft.nl/citg/over-faculteit/afdelingen/engineering-structures/sections-labs/resources-recycling/staff/dr-f-francesco-di-maio,Francesco,Di Maio,Dr.,Dr. Francesco Di Maio,CEG,Circular Economy,Engineering Structures / Resources & Recycling,recommender_3.png,Pending
4,https://www.tudelft.nl/staff/k.djanashvili/?cHash=cb644dc61c274303eb96aa359e610779,Kristina,Djanashvili,Dr.,Dr. Kristina Djanashvili,AS,Biomedical Imaging,Biotechnology / Biocatalysis,recommender_4.png,"Suggestion for 10 books on Biomedical Imaging, covering: i) physics behind various imaging techniques, ii) design and synthesis of imaging probes, iii) image reconstruction/data processing, and iv) the role of AI. "
5,https://www.tudelft.nl/en/ceg/about-faculty/departments/transport-planning/staff/personal-pages/arem-b-van,Bart,van Arem,Prof.dr.ir.,Prof.dr.ir. Bart van Arem,CEG,Autonomous Vehicles,Transport and Planning / Transport and Planning,recommender_5.png,Pending
6,https://www.tudelft.nl/en/staff/t.p.y.tsui/?cHash=ce0062b6511cf9769bcdffca846c04ad,Tanya,Tsui,PhD Candidate,PhD Candidate Tanya Tsui,A+BE,Circular Economy,Architectural Engineering and Technology / Environmental & Climate Design,recommender_6.png,"Not only did these 10 books teach me about circularity in the built environment, they also changed how I viewed the world: from seeing it as a collection of objects to an interconnected system… I hope they do the same for you!"
7,https://www.tudelft.nl/en/staff/d.stead/?cHash=53d0bbb69a01f27ac1c8719ff5f290c1,Dominic,Stead,Dr.,Dr. Dominic Stead,A+BE,Mobility and Transportation,Urbanism / Spatial Planning and Strategy,recommender_7.png,This set of books brings together classic texts and contemporary sources from key authors in the field and offers an ideal starting point for readers wishing to familiarize themselves with some of the most important issues concerning sustainable mobility in today’s cities.
8,https://www.tudelft.nl/citg/over-faculteit/afdelingen/materials-mechanics-management-design-3md/sections-labs/integral-design-management/groups/design-integration/staff/liu-z,Zhaowen,Liu,PhD Candidate,PhD Candidate Zhaowen Liu,CEG,Circular Economy,"Materials, Mechanics, Management & Design / Integral Design & Management",recommender_8.png,"These books cover various aspects of the circular economy, from theoretical foundations to practical applications, offering valuable insights for those interested in sustainability and the intersection of environmental economics and sociology."
9,https://www.tudelft.nl/en/staff/e.mosselman/?no_cache=1,Erik,Mosselman,Dr.ir. ,Dr.ir.  Erik Mosselman,CEG,Climate Change,"Hydraulic Engineering / Rivers, Ports, Waterways and Dredging Engineering",recommender_9.png,"Energy transition and adaptation to climate change are compromised as superficiality in climate science leads to short-term thinking, ineffective measures and unethical policies."
10,https://www.tudelft.nl/tbm/onze-faculteit/afdelingen/values-technology-and-innovation/people/associate-professors/dr-f-filippo-santoni-de-sio,Filippo,Santoni De Sio,Dr.,Dr. Filippo Santoni De Sio,TPM,Autonomous Vehicles,"Values, Technology and Innovation / Ethics & Philosophy of Technology",recommender_10.png,Automated driving systems are not only a technical but also an ethical and societal challenge.
11,https://www.tudelft.nl/staff/b.j.vanstraten/?cHash=f887278a09d295c20cca54b802bfe7e6,Bart,van Straten,Dr.,Dr. Bart van Straten,ME,Circular Economy,BioMechanical Engineering / Medical Instruments & Bio-Inspired Technology,recommender_11.png,"Humanity witnessed gigantic global economic development with  great  technological  improvements and growing consumption.  However, as a  result  of  this  growth,  waste streams and the  primary  greenhouse  gasses  emitted  by  human  activities  increased drastically.  In this book, Van Straten and Horeman present their findings on creating a sustainable healthcare economy by introducing different circular strategies."
12,https://www.tudelft.nl/staff/t.horeman/?cHash=b80accb707347eced1a6d1594f8d7224,Tim,Horeman,Dr.ir. ,Dr.ir.  Tim Horeman,ME,Circular Economy,BioMechanical Engineering / Medical Instruments & Bio-Inspired Technology,recommender_12.png,Same as Bart van Straten
13,https://www.tudelft.nl/en/staff/a.wandl/?cHash=842e397ae7c998ecc880d440e2a0ccf0,Alexander,Wandl,Dr.,Dr. Alexander Wandl,A+BE,Circular Economy,Urbanism / Environmental Technology and Design,recommender_13.png,"The following collection of books brings together an overview of how the concept of the Circular Economy can be applied towards sustainable spatial development. These books are selected through the lens of an urbanist, therefore not focusing on product design, like the majority of literature in the CE field. Instead, they explore how the concept of Circular Economy can be applied to how we live together, making a step from circular economy towards a circular and regenerative society."
14,https://www.tudelft.nl/staff/r.f.remis/?cHash=eeab5bbe727ce4b99e4eccd990dd61c5,Rob,Remis,Dr.ir. ,Dr.ir.  Rob Remis,EEMCS,Biomedical Imaging,Microelectronics / Tera-Hertz Sensing,recommender_14.png,Pending
15,https://www.tudelft.nl/citg/over-faculteit/afdelingen/watermanagement/medewerker/staff-water-resources-management/academic-staff/dr-ir-marie-claire-ten-veldhuis,Marie-Claire,ten Veldhuis,Dr.ir. ,Dr.ir.  Marie-Claire ten Veldhuis,CEG,Climate Change,Water Management / Water Resources,recommender_15.png,Pending
16,https://www.tudelft.nl/en/staff/g.p.vanwee/?cHash=312e6e37b0aa8634473e195cb4667ec9,Bert,van Wee,Prof.dr.,Prof.dr. Bert van Wee,TPM,Autonomous Vehicles,Engineering Systems & Services / Transport and Logistics,recommender_16.png,"The nice thing about this book is that almost all chapters are literature reviews. So it is a very efficient way to have an overview of the literature on AVs, on several aspects, including traffic flow, safety, health and environmental impacts, and ethical considerations."
17,https://www.tudelft.nl/citg/over-faculteit/afdelingen/transport-planning/staff/persoonlijke-paginas/oort-n-van,Niels,van Oort,Dr.ir. ,Dr.ir.  Niels van Oort,CEG,Mobility and Transportation,Transport and Planning / Transport and Planning,recommender_17.png,"What I love about teaching and researching (public) transport is its multidisciplinary character, such as data, engineering and behaviour. Mobility is much more than just moving from A to B, think for instance about its societal impacts on spatial quality, the environment and inclusivity. Enjoy the ride from in-depth science to tangible applications and experience!"
18,https://www.tudelft.nl/citg/over-faculteit/afdelingen/geoscience-remote-sensing/staff/scientific-staff/dr-ir-b-bert-wouters,Bert,Wouters,Dr.ir. ,Dr.ir.  Bert Wouters,CEG,Climate Change,Geoscience & Remote Sensing / Physical and Space Geodesy,recommender_18.png,"A collection of books to inspire those aspiring to tackle the mammoth challenge of climate change, an endeavor which requires reaching beyond disciplinary boundaries as a scientist, but can only be successful when accompanied by systemic changes in societies, politics, and economies."
19,https://www.tudelft.nl/staff/j.ubacht/?cHash=a3aaad190f925b0ff59dc13708e02008,Jolien,Ubacht,Dr.,Dr. Jolien Ubacht,TPM,Circular Economy,Engineering Systems & Services / Information and Communication Technology,recommender_19.png,The transition from a linear toward a circular economy requires a systems thinking perspective to tackle its inherent complexities and uncertainties. The selected books introduce the concept of a circular economy and offer a diversity of application domains to inspire researchers to contribute to this systemic transition.
20,https://www.tudelft.nl/staff/r.vos/,Roelof,Vos,Dr.ir. ,Dr.ir.  Roelof Vos,AE,Sustainable Aviation,Flow Physics and Technology / Flight Performance and Propulsion,recommender_20.png,"To enable sustainable aviation, we need propulsion systems that no longer produce emissions that contribute to global warming. However, the large amount of energy that is needed to transport people through the air means that our aircraft need to improve as well. Therefore, we need advances in aircraft configuration, lighter structures and better aerodynamics. Finally, we need to make sure that appropriate policies are in place to prevent all these advances to drastically increase the number of flights due to the lower costs. "
21,https://www.tudelft.nl/staff/a.zgonnikov/?cHash=1a2a4d13fd0420a16ca8d45548ee0909,Arkady,Zgonnikov,Dr.,Dr. Arkady Zgonnikov,ME,Cognitive Robotics,Cognitive Robotics / Human-Robot Interaction,recommender_21.png,"Spanning from the times of Ancient Greece to the end of the XXI century, these books provide a glimpse into the historical roots, technological advances, and sociocultural impacts of the fascinating field of cognitive robotics."
22,https://www.tudelft.nl/ewi/over-de-faculteit/afdelingen/intelligent-systems/pattern-recognition-bioinformatics/computer-vision-lab/people/jan-van-gemert,Jan,van Gemert,Dr.,Dr. Jan van Gemert,EEMCS,Artificial Intelligence,Intelligent Systems / Pattern Recognition and Bioinformatics,recommender_22.png,"I am researching and teaching Deep Learning. This list of AI books influenced me and reflects AI itself: Mixing fiction, popular science, and techniques."
23,https://www.tudelft.nl/ewi/over-de-faculteit/afdelingen/intelligent-systems/pattern-recognition-bioinformatics/pattern-recognition-bioinformatics/people/marco-loog,Marco,Loog,Dr.,Dr. Marco Loog,EEMCS,Artificial Intelligence,Intelligent Systems / Pattern Recognition and Bioinformatics / Radboud University (current primary affiliation),recommender_23.png,"As everything seems to be AI these days, there may be few books that could not have made it to this florilegium; the hints of artificial intelligence here provided show diversity and depth, humor and horror, while some of the shoulders I try to stand on are acknowledged as well."
24,https://www.tudelft.nl/staff/s.nijhuis/,Steffen,Nijhuis,Prof. dr. ing.,Prof. dr. ing. Steffen Nijhuis,A+BE,Sustainable Urbanization,Urbanism / Landscape Architecture,recommender_24.png,Pending
25,https://www.tudelft.nl/en/staff/p.proesmans/?cHash=3d3e68be1887876e888841f7667351a4,Pieter-Jan,Proesmans,PhD Candidate,PhD Candidate Pieter-Jan Proesmans,AE,Sustainable Aviation,Flow Physics and Technology / Flight Performance and Propulsion,recommender_25.png,"The path to sustainable aviation will require a truly multidisciplinary approach. These ten books helped me cover various aspects during my PhD research since they provide insights into aircraft design, engine performance and emissions, climate science, and airline operations. "
26,https://www.tudelft.nl/staff/j.guo/?cHash=d0f5ea78e76ea7e3ca67106c18a9c89d,Jian,Guo,Dr.,Dr. Jian Guo,AE,Space Exploration,Space Engineering / Space Systems Egineering,recommender_26.png,"Aiming at igniting imagination and inspiring creativity, this collection of books provides comprehensive coverage on every aspect of space exploration, from memories to dreams, from Earth orbiting to solar system adventure, and from technologies to policies.  "
27,https://www.tudelft.nl/en/staff/n.doorn/?cHash=7990167c56b4c5c55dedf7c4b0bb2aa9,Neelke,Doorn,Prof.dr.mr.ir.,Prof.dr.mr.ir. Neelke Doorn,TPM,Climate Change,Values Technology and Innovation / Ethics & Philosophy of Technology,recommender_27.png,"This selection of books provides perspectives from the social sciences and humanities to climate change, focusing on the social contexts in which we make climate decisions and try to implement different solutions. "
