Item_Permanent_Shelving_Location,Item_Call_Number,Author_Name,Title,Material_Format,OCLC_Number,Title_ISBN,Publication_Date,Item_Barcode,LHR_Item_Cost,LHR_Item_Nonpublic_Note,LHR_Item_Public_Note
recommendation area,Zgo,"Braitenberg, Valentino.","Vehicles, experiments in synthetic psychology /",Book,10753133,0262022087^9780262022088,1984,893058,,S Braitenberg,
recommendation area,Are,"Asimov, Isaac,; Shannon, David,",Sally /,Book,19221464,0886822300^9780886822309,1989,5130918,,PGD189,
recommendation area,Ste,"Calthorpe, Peter.","The next American metropolis :ecology, community, and the American dream /",Book,27814585,1878271687^9781878271686,1993,5124995,20.00 EUR,VMA193,
recommendation area,Anc,"Brand, Stewart.",How buildings learn :what happens after they're built /,Book,29566065,0140139966^0670835153^9780140139969^9780670835157,1994,5116631,41.95 EUR,VGA194,
recommendation area,Nij,"McHarg, Ian L.,",Design with nature /,Book,32422211,047111460X^9780471114604,1994,5124972,,VMA192,
recommendation area,Nij,"Jellicoe, Geoffrey,; Jellicoe, Susan.",The landscape of man :shaping the environment from prehistory to the present day /,Book,33208537,0500278199^9780500278192,1995,5124996,15.00 EUR,VPB195,
recommendation area,ARE,"Ioannou, P. A.",Automated highway systems /,Book,35842652,0306454696^9780306454691,1997,2293145,,TGE197,
recommendation area,Loo,"Vapnik, V. N.",Statistical learning theory /,Book,37567297,0471030031^8126528923^9780471030034^9788126528929,1998,3010203,,DQS198,
recommendation area,Zgo,"Hayles, N. Katherine,","How we became posthuman :virtual bodies in cybernetics, literature, and informatics /",Book,39539341,0226321398^0226321452^0226321460^9780226321394^9780226321455^9780226321462,1999,5130935,,PGA199,
recommendation area,Rem,"Liang, Zhi-Pei,; Lauterbur, Paul C.,; IEEE Engineering in Medicine and Biology Society.",Principles of magnetic resonance imaging :a signal processing perspective /,Book,41649594,0780347234^0819435163^9780780347236^9780819435163,2000,5130926,,EXJ200,
recommendation area,"Dja, Rem","Webb, Andrew",Introduction to biomedical imaging /,Book,51069002,0471237663^9780471237662,2003,5040477,,KLT203,
recommendation area,Anc,"Benyus, Janine M.",Biomimicry :innovation inspired by nature /,Book,51226447,0060533226^9780060533229,2002,5130120,23.00 EUR,ZBA202,
recommendation area,Fli,"Bloch, S. C.",Excel for engineers and scientists /,Book,51632522,0471256862^0471429430^9780471256861^9780471429432,2003,5130109,70.00 EUR,EFB203,Bevat CD-Rom
